stock_id,stock_name,close,volume,turnover,date,liquidity_level,liquidity_tag,liquidity_score
2028,威致,17.5,309.827,5421972.5,2026-04-30,BLOCK,流動性不足,43.59
2029,盛餘,20.2,110.237,2226787.4,2026-04-30,BLOCK,流動性不足,28.98
2030,彰源,15.95,667.577,10647853.149999999,2026-04-30,MEDIUM,中流動性,55.01
2031,新光鋼,40.65,871.562,35428995.300000004,2026-04-30,MEDIUM,中流動性,64.4
2032,新鋼,16.0,376.765,6028240.0,2026-04-30,MEDIUM,中流動性,45.78
2033,佳大,15.5,389.926,6043853.0,2026-04-30,MEDIUM,中流動性,46.13
2034,允強,21.3,2350.141,50058003.300000004,2026-04-30,MEDIUM,中流動性,72.6
2035,唐榮,28.3,13.014,368296.2,2026-04-30,BLOCK,流動性不足,6.62
2038,海光,14.1,398.196,5614563.600000001,2026-04-30,MEDIUM,中流動性,45.95
2049,上銀,312.5,9788.451,3058890937.4999995,2026-04-30,HIGH,高流動性,94.22
2059,川湖,3910.0,1278.072,4997261520.0,2026-04-30,HIGH,高流動性,84.81
2061,風青,19.35,1078.494,20868858.9,2026-04-30,MEDIUM,中流動性,63.05
2062,橋椿,20.85,288.66,6018561.000000001,2026-04-30,BLOCK,流動性不足,43.46
2063,世鎧,25.9,15.039,389510.1,2026-04-30,BLOCK,流動性不足,7.33
2064,晉椿,11.6,38.029,441136.4,2026-04-30,BLOCK,流動性不足,12.42
2065,世豐,29.05,20.075,583178.75,2026-04-30,BLOCK,流動性不足,10.1
2066,世德,46.5,19.743,918049.5,2026-04-30,BLOCK,流動性不足,11.73
2067,嘉鋼,7.23,292.366,2113806.18,2026-04-30,BLOCK,流動性不足,36.16
2069,運錩,18.8,209.248,3933862.4,2026-04-30,BLOCK,流動性不足,38.02
2070,精湛,59.0,1816.362,107165358.0,2026-04-30,HIGH,高流動性,74.83
2072,世紀風電,185.0,844.488,156230280.0,2026-04-30,HIGH,高流動性,71.27
2073,,26.350000381469727,0.0,0.0,2026-04-24,BLOCK,流動性不足,0.33
2101,南港,33.45,1014.148,33923250.60000001,2026-04-30,MEDIUM,中流動性,65.57
2102,泰豐,18.8,447.443,8411928.4,2026-04-30,MEDIUM,中流動性,49.77
2103,台橡,19.65,3362.384,66070845.6,2026-04-30,HIGH,高流動性,76.13
2104,國際中橡,10.7,1672.52,17895964.0,2026-04-30,MEDIUM,中流動性,65.14
2105,正新,31.2,8685.387,270984074.40000004,2026-04-30,HIGH,高流動性,86.56
2106,建大,17.25,602.508,10393263.0,2026-04-30,MEDIUM,中流動性,54.22
2107,厚生,26.25,248.067,6511758.75,2026-04-30,BLOCK,流動性不足,42.7
2108,南帝,26.7,974.7,26024490.0,2026-04-30,MEDIUM,中流動性,63.74
2109,華豐,14.4,151.024,2174745.6,2026-04-30,BLOCK,流動性不足,31.09
2114,鑫永銓,88.5,32.221,2851558.4999999995,2026-04-30,BLOCK,流動性不足,21.76
2115,六暉-KY,21.2,77.509,1643190.7999999998,2026-04-30,BLOCK,流動性不足,23.77
2201,裕隆,27.0,2484.654,67085657.99999999,2026-04-30,MEDIUM,中流動性,74.45
2204,中華,54.1,906.844,49060260.400000006,2026-04-30,MEDIUM,中流動性,66.54
2206,三陽工業,55.5,1620.208,89921544.00000001,2026-04-30,HIGH,高流動性,73.66
2207,和泰車,476.5,499.389,237958858.5,2026-04-30,HIGH,高流動性,69.19
2208,台船,19.8,4440.108,87914138.4,2026-04-30,HIGH,高流動性,79.08
2211,長榮鋼,97.5,921.013,89798767.5,2026-04-30,HIGH,高流動性,69.72
2221,大甲,36.65,385.968,14145727.2,2026-04-30,MEDIUM,中流動性,51.91
2227,裕日車,53.5,32.031,1713658.5,2026-04-30,BLOCK,流動性不足,18.17
2228,劍麟,87.2,185.978,16217281.600000001,2026-04-30,MEDIUM,中流動性,47.07
2230,泰茂,27.0,337.659,9116793.0,2026-04-30,MEDIUM,中流動性,47.86
2231,為升,120.5,613.189,73889274.5,2026-04-30,MEDIUM,中流動性,65.6
2233,宇隆,300.0,6174.279,1852283700.0000002,2026-04-30,HIGH,高流動性,91.37
2235,謚源,32.5,13.031,423507.5,2026-04-30,BLOCK,流動性不足,7.12
2236,百達-KY,132.0,199.331,26311692.0,2026-04-30,MEDIUM,中流動性,50.38
2239,英利-KY,21.8,33.211,723999.7999999999,2026-04-30,BLOCK,流動性不足,13.51
2241,艾姆勒,29.8,627.872,18710585.599999998,2026-04-30,MEDIUM,中流動性,58.42
2243,宏旭-KY,27.25,2172.65,59204712.5,2026-04-30,MEDIUM,中流動性,73.21
2247,汎德永業,212.5,72.455,15396687.5,2026-04-30,BLOCK,流動性不足,39.13
