date,stock_id,close,volume,source_type,stage,main_force_score,accumulation_score,control_score,structure_score,test_move_score,pre_breakout_score,note
2026-04-24,2236,134.0,642004,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2239,22.2,73769,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2241,32.2,1817839,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2243,24.25,1951159,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2247,217.0,179885,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2248,59.9,142662,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2250,63.6,65985,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2254,77.9,62002,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2258,29.4,596174,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2301,169.5,25524324,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2302,17.95,756590,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2303,74.5,180527350,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2305,15.75,2676547,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2308,2075.0,11571377,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2312,26.1,74780428,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2313,214.5,108715535,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2314,15.55,200741,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2316,118.0,28352656,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2317,221.5,77230253,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2321,12.95,3413,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2323,10.25,4945319,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2324,30.3,35382042,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2327,297.0,32633203,latest_price_panel_stock_snapshot,,,,,,,,
