engine,signal_date,trade_date,exit_date,symbol,market,signal_close,mom_5d,mom_20d,std_5d,trade_close,exit_close,trade_ret,weight_engine,weight_portfolio,wret
A,2026-03-05,2026-03-06,2026-03-10,2371,TWSE,33.05,-0.10675675675675689,-0.1778606965174131,0.044894846034045637,33.85,32.8,-0.03101920236336797,0.125,0.0375,-0.0011632200886262988
A,2026-03-05,2026-03-06,2026-03-10,1435,TWSE,21.45,-0.09873949579831942,0.04634146341463419,0.03127751335884894,20.8,19.6,-0.05769230769230771,0.125,0.0375,-0.002163461538461539
A,2026-03-05,2026-03-06,2026-03-10,2231,TWSE,89.1,-0.09543147208121838,-0.08521560574948672,0.02577092173465485,89.0,85.5,-0.0393258426966292,0.125,0.0375,-0.001474719101123595
A,2026-03-06,2026-03-09,2026-03-11,2316,TWSE,93.0,-0.17333333333333334,-0.051987767584097844,0.05258727907881813,86.9,94.9,0.09205983889528202,0.125,0.0375,0.0034522439585730758
A,2026-03-06,2026-03-09,2026-03-11,1466,TWSE,17.1,-0.1428571428571428,0.1875,0.03811943716342287,16.8,17.15,0.02083333333333326,0.125,0.0375,0.0007812499999999972
A,2026-03-06,2026-03-09,2026-03-11,2344,TWSE,106.5,-0.1306122448979592,-0.05752212389380529,0.07128734711978725,101.0,114.0,0.1287128712871286,0.125,0.0375,0.004826732673267322
A,2026-03-06,2026-03-09,2026-03-11,1435,TWSE,20.8,-0.12970711297071125,-0.04587155963302747,0.02820945428187736,19.3,20.1,0.041450777202072464,0.125,0.0375,0.0015544041450777173
A,2026-03-06,2026-03-09,2026-03-11,1504,TWSE,72.3,-0.1278648974668276,-0.17087155963302758,0.04015357873885165,68.8,71.6,0.0406976744186045,0.125,0.0375,0.0015261627906976688
A,2026-03-06,2026-03-09,2026-03-11,1445,TWSE,13.3,-0.11036789297658856,-0.08904109589041087,0.029786148441504758,12.85,13.5,0.05058365758754868,0.125,0.0375,0.0018968871595330754
A,2026-03-06,2026-03-09,2026-03-11,2374,TWSE,72.1,-0.10987654320987661,-0.19351230425055943,0.04189764930156925,68.2,72.4,0.061583577712609916,0.125,0.0375,0.0023093841642228717
A,2026-03-06,2026-03-09,2026-03-11,2329,TWSE,51.6,-0.10880829015544036,-0.19999999999999996,0.05493576759253248,47.95,54.7,0.14077163712200202,0.125,0.0375,0.005278936392075076
A,2026-03-09,2026-03-10,2026-03-12,1538,TWSE,17.5,-0.23913043478260865,-0.3358633776091082,0.043539042508076595,19.15,17.5,-0.08616187989556134,0.125,0.0375,-0.0032310704960835505
A,2026-03-09,2026-03-10,2026-03-12,2402,TWSE,47.2,-0.22622950819672127,-0.15864527629233505,0.054408085698524795,49.95,50.3,0.00700700700700696,0.125,0.0375,0.000262762762762761
A,2026-03-09,2026-03-10,2026-03-12,2344,TWSE,101.0,-0.1887550200803213,-0.1255411255411255,0.06769315961394848,105.5,109.0,0.033175355450236976,0.125,0.0375,0.0012440758293838865
A,2026-03-09,2026-03-10,2026-03-12,2316,TWSE,86.9,-0.1840375586854459,-0.11776649746192891,0.0538547884271258,92.3,90.8,-0.01625135427952329,0.125,0.0375,-0.0006094257854821233
A,2026-03-09,2026-03-10,2026-03-12,1435,TWSE,19.3,-0.16268980477223427,-0.11467889908256879,0.03490021753303204,19.6,19.6,0.0,0.125,0.0375,0.0
A,2026-03-09,2026-03-10,2026-03-12,2359,TWSE,110.5,-0.15969581749049433,-0.1875,0.034355242593644,116.0,116.0,0.0,0.125,0.0375,0.0
A,2026-03-09,2026-03-10,2026-03-12,2329,TWSE,47.95,-0.15877192982456134,-0.23524720893141948,0.05883019219379191,49.75,52.2,0.04924623115577886,0.125,0.0375,0.0018467336683417072
A,2026-03-09,2026-03-10,2026-03-12,1471,TWSE,12.05,-0.1573426573426573,-0.1774744027303754,0.04453826826061429,11.85,11.85,0.0,0.125,0.0375,0.0
