stock_id,stock_name,foreign_net_buy,trust_net_buy,dealer_net_buy,inst_net_buy,inst_buy_days,inst_valid,margin_balance,short_balance,margin_balance_change,short_balance_change,margin_valid,chip_market
1815,,391428.0,489029.0,66564.0,947021.0,1.0,1,0.0,0.0,0.0,0.0,0,TPEX
1817,凱撒衛,-6000.0,0.0,0.0,-6000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1903,,-48000.0,0.0,0.0,-48000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1904,正隆,-519000.0,0.0,0.0,-519000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1905,,-476000.0,0.0,0.0,-476000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1906,,-10000.0,0.0,0.0,-10000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1907,永豐餘,-1422970.0,-19837.0,3000.0,-1439807.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1909,,-1531000.0,0.0,0.0,-1531000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
2002,中鋼,-25514188.0,-23000.0,741331.0,-24795857.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
2006,東和鋼鐵,-3127000.0,10585.0,54739.0,-3061676.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
2007,,-188000.0,0.0,0.0,-188000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
2008,,-7000.0,0.0,0.0,-7000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
2009,,-384000.0,0.0,23166.0,-360834.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
2010,春源,-150000.0,0.0,0.0,-150000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
2012,春雨,8000.0,0.0,0.0,8000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
2013,中鋼構,-37000.0,0.0,47.0,-36953.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
2014,中鴻,172314.0,0.0,17000.0,189314.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
2015,豐興,-212000.0,-33000.0,2000.0,-243000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
2017,,-291000.0,0.0,0.0,-291000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
2020,,-82000.0,0.0,0.0,-82000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
2022,,-259000.0,0.0,0.0,-259000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
2023,燁輝,-1127000.0,0.0,23000.0,-1104000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
2024,志聯,-7000.0,0.0,0.0,-7000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
2025,,-7000.0,0.0,0.0,-7000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
2027,大成鋼,1111000.0,-259000.0,414704.0,1266704.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
2028,,-120000.0,0.0,0.0,-120000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
