engine,signal_date,trade_date,symbol,market,signal_close,mom_5d,std_5d,trade_ret,weight_engine,weight_portfolio,wret
B,2026-02-25,2026-02-26,2360,TWSE,1255.0,0.21844660194174748,0.03905782359314755,0.09960159362549792,0.16666666666666666,0.049999999999999996,0.004980079681274896
B,2026-02-25,2026-02-26,2337,TWSE,108.0,0.21621621621621623,0.06248255605968931,0.0185185185185186,0.16666666666666666,0.049999999999999996,0.00092592592592593
B,2026-02-25,2026-02-26,2327,TWSE,300.0,0.19999999999999996,0.04436405546205189,-0.00666666666666671,0.16666666666666666,0.049999999999999996,-0.00033333333333333544
B,2026-02-26,2026-03-02,1802,TWSE,61.1,0.42757009345794406,0.044326543552945866,0.09983633387888702,0.16666666666666666,0.049999999999999996,0.00499181669394435
B,2026-02-26,2026-03-02,2103,TWSE,20.5,0.26543209876543217,0.052751503570306904,-0.07804878048780495,0.16666666666666666,0.049999999999999996,-0.003902439024390247
B,2026-02-26,2026-03-02,1303,TWSE,91.8,0.26098901098901095,0.04826785802599961,-0.025054466230936767,0.16666666666666666,0.049999999999999996,-0.0012527233115468383
B,2026-02-26,2026-03-02,2404,TWSE,1130.0,0.2444933920704846,0.031122634774313207,-0.04867256637168138,0.16666666666666666,0.049999999999999996,-0.002433628318584069
B,2026-02-26,2026-03-02,2104,TWSE,13.2,0.1945701357466061,0.058617008654909,-0.06818181818181812,0.16666666666666666,0.049999999999999996,-0.003409090909090906
B,2026-02-26,2026-03-02,2344,TWSE,122.5,0.18357487922705307,0.04623316312032342,0.01632653061224487,0.16666666666666666,0.049999999999999996,0.0008163265306122435
B,2026-03-02,2026-03-03,1471,TWSE,14.3,0.32407407407407396,0.03785866390994216,-0.08391608391608396,0.16666666666666666,0.049999999999999996,-0.0041958041958041975
B,2026-03-02,2026-03-03,1717,TWSE,67.8,0.193661971830986,0.04840841176276498,-0.039823008849557584,0.16666666666666666,0.049999999999999996,-0.001991150442477879
B,2026-03-02,2026-03-03,2344,TWSE,124.5,0.1800947867298579,0.04650774836808214,-0.09638554216867468,0.16666666666666666,0.049999999999999996,-0.004819277108433734
