engine,signal_date,trade_date,symbol,market,signal_close,mom_5d,std_5d,trade_ret,weight_engine,weight_portfolio,wret,capital_after_trade,cash_mode
B,2026-02-24,2026-02-25,1225,TWSE,29.15,0.03368794326241131,0.0023358221595513188,0.00857632933104635,0.5284008491384701,0.10568016982769401,0.0009063479402032118,98552.18982311014,False
B,2026-02-24,2026-02-25,2009,TWSE,46.55,0.09658421672555928,0.006300421973969484,-0.004296455424274925,0.22132863123636978,0.04426572624727396,-0.00019018571964456914,98552.18982311014,False
B,2026-02-24,2026-02-25,2107,TWSE,25.6,0.036437246963562764,0.003619315335932771,0.00390625,0.1661674198983312,0.03323348397966624,0.00012981829679557124,98552.18982311014,False
B,2026-02-24,2026-02-25,2317,TWSE,232.0,0.07906976744186056,0.007612273451786721,0.0625,0.0841030997268289,0.01682061994536578,0.0010512887465853613,98552.18982311014,False
A,2026-02-25,2026-02-26,1101,TWSE,26.55,0.045275590551181244,0.00465902414252742,-0.005649717514124353,0.14123632281373852,0.08474179368824311,-0.00047876719597877965,99196.75267908498,False
A,2026-02-25,2026-02-26,1225,TWSE,29.4,0.035211267605633756,0.0024948292916999485,0.010204081632653184,0.2979130758996778,0.1787478455398067,0.0018239576075490696,99196.75267908498,False
A,2026-02-25,2026-02-26,1457,TWSE,16.1,0.0769230769230771,0.010880049068560525,-0.006211180124223725,0.07475836080149749,0.04485501648089849,-0.00027860258683788436,99196.75267908498,False
A,2026-02-25,2026-02-26,2101,TWSE,36.0,0.04651162790697683,0.006258339358158226,-0.012500000000000067,0.08260626495466135,0.04956375897279681,-0.0006195469871599634,99196.75267908498,False
A,2026-02-25,2026-02-26,2102,TWSE,20.7,0.06976744186046502,0.008346577726947423,0.007246376811594235,0.10449532781389968,0.06269719668833981,0.0004543275122343485,99196.75267908498,False
A,2026-02-25,2026-02-26,2107,TWSE,25.7,0.032128514056224855,0.0038351736846302846,0.005836575875486361,0.10495889322496475,0.06297533593497885,0.00036756032646874685,99196.75267908498,False
A,2026-02-25,2026-02-26,2362,TWSE,40.05,0.07228915662650581,0.008673065548406864,-0.012484394506866447,0.10389848650409249,0.0623390919024555,-0.000778265816510058,99196.75267908498,False
A,2026-02-25,2026-02-26,2404,TWSE,1035.0,0.1525612472160356,0.019651955899968696,0.09178743961352653,0.09013326798746787,0.05407996079248072,0.004963861135541707,99196.75267908498,False
B,2026-02-25,2026-02-26,1101,TWSE,26.55,0.045275590551181244,0.00465902414252742,-0.005649717514124353,0.15033981603923438,0.030067963207846878,-0.00016987549834941915,99196.75267908498,False
B,2026-02-25,2026-02-26,1225,TWSE,29.4,0.035211267605633756,0.0024948292916999485,0.010204081632653184,0.592203846310529,0.11844076926210581,0.0012085792781847677,99196.75267908498,False
